sezione,oggetto,dettaglio
POLICY,orders · orders: owner read,SELECT | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,orders · orders: owner update,UPDATE | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,orders · orders: public insert,INSERT | roles=public | USING(-) | CHECK(true)
POLICY,orders · orders: public update expired,UPDATE | roles=public | USING(((status = 'new'::text) OR (status = 'pending'::text))) | CHECK((status = 'expired'::text))
POLICY,platform_settings · platform_settings: admin write,ALL | roles=public | USING(is_admin()) | CHECK(-)
POLICY,platform_settings · platform_settings: public select,SELECT | roles=public | USING(true) | CHECK(-)
POLICY,profiles · profiles: admin all,ALL | roles=public | USING(is_admin()) | CHECK(-)
POLICY,profiles · profiles: self insert,INSERT | roles=public | USING(-) | CHECK((id = auth.uid()))
POLICY,profiles · profiles: self read,SELECT | roles=public | USING(((id = auth.uid()) OR is_admin())) | CHECK(-)
POLICY,promos · promos: owner write,ALL | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,promos · promos: public read active,SELECT | roles=public | USING(((active = true) AND ((restaurant_id = my_restaurant_id()) OR is_admin() OR (restaurant_id IN ( SELECT restaurants.id    FROM restaurants   WHERE (restaurants.status = 'published'::text)))))) | CHECK(-)
POLICY,restaurant_categories · Authenticated Insert restaurant_categories,INSERT | roles=public | USING(-) | CHECK((auth.role() = 'authenticated'::text))
POLICY,restaurant_categories · Public Read restaurant_categories,SELECT | roles=public | USING(true) | CHECK(-)
POLICY,restaurant_hours · restaurant_hours: owner,ALL | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,restaurant_hours · restaurant_hours: public read,SELECT | roles=public | USING(((restaurant_id IN ( SELECT restaurants.id    FROM restaurants   WHERE (restaurants.status = 'published'::text))) OR (restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,restaurants · restaurants: admin delete,DELETE | roles=public | USING(is_admin()) | CHECK(-)
POLICY,restaurants · restaurants: admin insert,INSERT | roles=public | USING(-) | CHECK(is_admin())
POLICY,restaurants · restaurants: owner read,SELECT | roles=public | USING(((owner_id = auth.uid()) OR is_admin())) | CHECK(-)
POLICY,restaurants · restaurants: owner write,UPDATE | roles=public | USING(((owner_id = auth.uid()) OR is_admin())) | CHECK(-)
POLICY_STORAGE,objects · Public Read Access,"SELECT | roles=public | USING((bucket_id = ANY (ARRAY['restaurant-logos'::text, 'restaurant-banners'::text, 'dish-images'::text]))) | CHECK(-)"
POLICY_STORAGE,objects · logos: public read,SELECT | roles=public | USING((bucket_id = 'restaurant-logos'::text)) | CHECK(-)
POLICY_STORAGE,objects · tenant storage: owner delete,"DELETE | roles=public | USING(((bucket_id = ANY (ARRAY['restaurant-logos'::text, 'restaurant-banners'::text, 'dish-images'::text])) AND (((storage.foldername(name))[1] = (my_restaurant_id())::text) OR is_admin()))) | CHECK(-)"
POLICY_STORAGE,objects · tenant storage: owner insert,"INSERT | roles=public | USING(-) | CHECK(((bucket_id = ANY (ARRAY['restaurant-logos'::text, 'restaurant-banners'::text, 'dish-images'::text])) AND (((storage.foldername(name))[1] = (my_restaurant_id())::text) OR is_admin())))"
POLICY_STORAGE,objects · tenant storage: owner update,"UPDATE | roles=public | USING(((bucket_id = ANY (ARRAY['restaurant-logos'::text, 'restaurant-banners'::text, 'dish-images'::text])) AND (((storage.foldername(name))[1] = (my_restaurant_id())::text) OR is_admin()))) | CHECK(-)"
BUCKET,dish-images,public=true
BUCKET,menu-images,public=true
BUCKET,restaurant-banners,public=true
BUCKET,restaurant-logos,public=true
FUNZIONE,is_admin,"CREATE OR REPLACE FUNCTION public.is_admin()  RETURNS boolean  LANGUAGE sql  SECURITY DEFINER AS $function$   SELECT EXISTS (     SELECT 1 FROM public.profiles     WHERE id = auth.uid() AND role = 'admin'   ); $function$ "
FUNZIONE,my_restaurant_id,"CREATE OR REPLACE FUNCTION public.my_restaurant_id()  RETURNS uuid  LANGUAGE sql  SECURITY DEFINER AS $function$   SELECT id FROM public.restaurants   WHERE owner_id = auth.uid()   LIMIT 1; $function$ "
FUNZIONE,update_updated_at,"CREATE OR REPLACE FUNCTION public.update_updated_at()  RETURNS trigger  LANGUAGE plpgsql AS $function$ BEGIN   NEW.updated_at = NOW();   RETURN NEW; END; $function$ "
TRIGGER,menu_items,menu_items_updated_at: CREATE TRIGGER menu_items_updated_at BEFORE UPDATE ON public.menu_items FOR EACH ROW EXECUTE FUNCTION update_updated_at()
TRIGGER,orders,orders_updated_at: CREATE TRIGGER orders_updated_at BEFORE UPDATE ON public.orders FOR EACH ROW EXECUTE FUNCTION update_updated_at()
TRIGGER,restaurants,restaurants_updated_at: CREATE TRIGGER restaurants_updated_at BEFORE UPDATE ON public.restaurants FOR EACH ROW EXECUTE FUNCTION update_updated_at()
REALTIME,supabase_realtime,"profiles, restaurants, restaurant_hours, menu_categories, menu_items, delivery_zones, promos, orders, order_items, bookings, platform_settings"
